deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
3103,High,2023-11-21,1251,Chemical,1.2210814510609171,There is an unsafe opening on the surface of the platform.,As per vessel design this platform has minimal opening near the cradle pin access area however AMSA inspector had recommended to make arrangements to protect crew from falling.,There is a small opening on the side of the platform.,Insufficient design.,"In discussion with the company, ship staff provided an extension checkered plate to the original drop-down platform to cover the opening near the boarding platform.",Learning from events.,No
5116,Low,2023-05-29,892,Dry Bulk,8.158795345653662,There are communication equipment boxes on the island.,PSCO observed 5 overhead lights with wiring terminated outside or a junction box located in the vicinity.,Minor leaks came up due to exposure.,The junction boxes were not maintained properly by the deck crew.,"The junction boxes were secured with a copper sheet, screw and nuts.",ISM PIC will check the junction boxes on a monthly basis.,No
4106,Medium,2022-07-14,2174,Chemical,10.4476386036961,Emergency steering position communications.,There is a 5 degree difference between the bridge compass and steering gear compass located inside the steering gear room.,The crewmember failed to comply with procedures.,There was an equipment failure between periods of inspection.,Technical assistance was given to resolve the issue prior to departure.,Crew will continue to follow company procedures and take necessary actions in case of an equipment breakdown due to wear and age.,No
4109,High,2023-11-06,3126,Dry Bulk,8.098562628336756,Fireman not familiar with fireman's outfit and not carrying two-way radio.,The crew overhauled the mushroom and forgot to re- connect the cables.,The unit was inspected and repaired.,Crew complacency is due to insufficient familiarisation and training.,"After a satisfactory result was achieved, a detailed report was submitted.",An issue was communicated to all vessels and additional training was provided to the crew.,No
18416,High,2023-06-26,4684,Container,11.233401779603012,The weight of the Port side is less than 4Kg.,The QHSE team will be notified if the risk rating is high.,Substandard acts.,"During the PSC inspection, the buoy was not put back in place after being taken out for maintenance.",PSCO closed the deficiency after the original buoy was put back in-front of inspectors.,"The importance of adequate inspection of all safety equipment, LSA/FFA was briefed to all crew members.",No
18424,Low,2023-04-10,5076,Dry Bulk,9.1088295687885,Some parts of the line were damaged.,"The crew noticed minor rust on the lines, but it did not affect the integrity of the line.",Minor damages to Tank Dome seals were noted during the inspection.,"The crew noticed minor rust on the lines, but it did not affect the integrity of the line.",The maintenance of the line is expected to be completed by the end of April.,Existing procedures and periodic inspection ensure that defects are promptly identified and appropriate action is taken.,No
99101,Medium,2023-03-03,1056,Dry Bulk,8.334017796030116,There is evidence that the ship board gas detector is malfunctioning.,The boiler abnormal alarm is permanently off.,There is a lack of training.,There is a lack of training.,The manual was obtained from the manufacturer.,Calibration must be carried out with photographic evidences as per the manual.,No
1137,Low,2022-09-12,741,Dry Bulk,16.030116358658454,Civil Liability for Bunker Oil Pollution Damage Cert is missing.,The Bunker Oil Pollution Damage Certificate was found on board.,The certificates considered of Bunker CLC not available onboard were construed as non-fulfilment of specified requirement.,Master was not aware that the certificate was not an e- certificate and was only a colour scanned copy.,The Management office sent the original hard copies to the vessel.,"If any of the original certificates is missing, the master should immediately report it to the office.",Yes
1202,Low,2022-11-01,1382,Container,20.0,Survey out of window.,Survey out of window.,Ladders for liferaft are due for a shore strength test.,There is a short term Cargo Ship Safety Construction Certificate that has been issued.,This is Force Majeure extension and survey reports will provide for vessel!,"Keeping with the survey reports, inspection windows will be monitored with more care.",No
11125,Medium,2024-06-06,4684,Container,17.763175906913073,The embarkation ladder shacks don't connect with the pad eye.,Critical Fire Fighting and Life Saving Appliances / Systems onboard are unreliable due to deficiencies 6 - 8.,"During the sea passage, the embarkation ladder shackles were disconnected to protect the rope end from exposure to the sea, but they were not reconnected after passing through an area of heavy weather.",Life-saving appliances and firefighting equipment were not adequately controlled.,The Port State Control Officer accepted the corrective action report before departure.,Notices will be posted in the bridge if FFE and LSA are temporarily secured.,No
4117,Medium,2023-02-06,1036,Dry Bulk,9.349760438056126,The function of safety systems.,Emergency dewatering valve control panel on navigation bridge shows both close and open indicators at the same time.,There are human factors.,There are human factors.,VT-V- 670.,VT-V-668.,No
15108,Medium,2024-03-12,1134,Dry Bulk,13.360711841204656,Evidence shows that the safety management system is not effective in ensuring compliance.,PSCO V.V. Rusanov imposed a new deficiency during the Novorossiysk PSC inspection.,"Due to short passage and lack of awareness of situational importance of hygiene, the washrooms on the ship were not immediately cleaned and maintained.",The captain of the C/O did not report the temporary repair to crack in the trunkway to the company and class in a timely manner.,"The captain and chief officer should strengthen the route training and supervision of maintenance crews, and should require relevant crews of the ship to promptly report any damage or defects to key equipment and structures, which should be reported by the captain to the company and classification society.",The master and c/o asked the relative crews to regularly inspect the ship's key equipment and structures.,No
2111,Medium,2023-07-10,2404,Dry Bulk,14.105407255304586,The Save all for the sludge and fuel oil overflow tanks air vents were damaged at the time of the inspection.,"The self-closing valves for the ME space, HFO overflow tank and cofferdam tanks were checked recently and it was suspected that they weren't closing on time.",Failure to follow procedures.,All air vent and coaming were checked by the PSCO.,The chief engineer checked for damage to the relevant area after removing the cement from the air vent.,The master taught the crew how to check and maintain the air vent and the overflow tanks.,No
10117,Medium,2024-06-10,4405,Dry Bulk,5.4401095140314855,The echo sounder has a shallow depth alert.,One pressure gauge in the engine room was out of range due to inadequate maintenance.,Substandard acts.,"After testing the UKC alert value with various range, it was forgotten to return to original parameters.",The UKC alert value was set by the crew.,The consequences of not properly setting the UKC alert value are emphasized in master facilitation education training.,No
18499,Low,2023-11-27,1122,Dry Bulk,7.73990417522245,There are various items in the store.,There are ventilators in the store.,The ship crew doesn't have a concept of garbage management.,Heavy loading caused the crew to move out the secured drums and lashing gears ladder and not secure them back immediately.,All items must be secured in the store.,"After tasks are completed, the crew in charge has been reminded to secure items.",No
15111,High,2023-05-16,1122,Dry Bulk,4.041067761806982,"In the preceding months, the company has identified and taken appropriate action for rest hour violations.","In the preceding months, the company has identified and taken appropriate action for rest hour violations.",There are human factors.,The first engineer is not familiar with ISM.,Reducing the number of duty hours is one way to learn and study the rules about this field.,Training crew to know the rules of rest time.,No
11116,Medium,2023-09-12,422,Dry Bulk,12.030116358658454,The rocket parachute flare in the bridge is missing a water-resistant case.,The distress flares were not stored in a portable container at the time of inspection.,Clarifications were offered to the inspector.,"In charge officer didn't secure the parachute flares back to water-resistance after inspection, just stowed in a carton box.",The officer in charge sealed the opening with the parachute flares.,Master and C/O guided duty crew in bridge to report to master when open the casing for double check.,No
6107,Medium,2024-01-02,4212,Dry Bulk,12.588637919233404,The communication method was not completed before unloading.,The paint room light was found unlit.,The field for the phone number was blank.,"Insufficient communication, improper communication method, and technique used.",The phone number was put in.,The Fleet will be reminded to insert 'N/A' instead of a blank field.,No
7109,High,2022-08-01,3188,General Cargo,7.581108829568788,There were CO2 pipes on the deck.,"After checking on the condition of the CO2 pipes on the deck, it was confirmed that there was no leaking or broken pipes, and then the jobs of de-rusting/painting maintenance were arranged for the pipes with serious rust condition.",The ship crew doesn't have a concept of garbage management.,Improper extension of service life Windlass P/S gypsies are in poor condition and need to be renewed.,"After checking on the condition of the CO2 pipes on the deck, it was confirmed that there was no leaking or broken pipes, and then the jobs of de-rusting/painting maintenance were arranged for the pipes with serious rust condition.",The instructions for inspecting of ship and its equipment were held by the shipmaster.,No
14599,Low,2023-04-11,2610,Chemical,13.943874058863791,Garbage should be given to shore facilities.,The Oil Record book states that the spill from the #2 HSFO (S) tank was verified by the CCS.,Chemicals used to clean the toilet bowl may affect the performance of the sewage treatment plant.,The crew did not timely land on the garbage.,All plastic bottles were thrown into the water.,The Responsible Officer was reprimanded for not properly discharging his duties.,No
4109,Medium,2022-08-10,4159,Dry Bulk,15.772758384668036,The crew doesn't know how to check and wear the breathing apparatus.,The SCBA sets are placed in the location as per the approved fire plan for the vessel.,The correct donning procedure was explained to the crew members after they were briefed on the inspector's concern.,"During the course of the inspection, PSCO was requested by the crew to conduct a fire drill in order to assess their readiness, as well as to verify that relevant equipment is in proper condition.","To the satisfaction of the PSCO, an additional fire drill was conducted and proper wearing and donning of the fireman outfit was verified.","In order to avoid similar occurrences in the future, the following measures have been adopted.",No
18314,Medium,2023-07-13,741,General Cargo,5.489390828199863,Fruits and vegetables are missing completely on board.,Title3 / Regulation A 3.2.,There are human factors.,Physical causes are listed.,"On 14th July, the vessel received a provision.",Physical.,No
15111,Low,2023-01-05,1318,Dry Bulk,9.848049281314168,"The last master review record was found on the board, but there were no records of the annual master review.",The previous Master uploaded the document into the system prior to the due date.,Poor record keeping.,There is insufficient management of change.,"The Annual Master's review of the year 2022, was printed out and filed.","A work order has been created to alert the vessel when the Annual Master's SMS review is due, and the requirement to attach.",No
3102,Not a deficiency,2024-04-24,3570,Liquefied Gas,0.6461327857631759,"At the port side, the middle draft mark and the Plimsoll mark are not fully painted.",The vessel was taken over by technical management.,The agent didn't report to the PSC office because he didn't receive the letter from the flag.,"At the time of inspection, the hull coating and hull marking was new and readable.","If all safety requirements are met, the draft will be re-painted on the 3rd of May at Balboa anchorage.",The check of the load lines marks is part of the 6 monthly routine inspection of the hull.,No
2102,Low,2023-11-20,831,Dry Bulk,11.800136892539356,There was no Damage Control Plan on the bridge.,The pilot ladder did not have a certificate on board.,The Master could not locate the ship structure access manual during the inspection.,The Damage Control Plan was not cited on time.,The Damage Control Plan was located and shown to the PSCO.,"To increase crew awareness, additional guidance will be provided.",No
1125,Low,2023-08-14,490,Dry Bulk,9.119780971937027,There is an engine international Air pollution prevention certificate.,"There is a statement of compliance for the engine international air pollution prevention certificate, but not for the EIAPP certificate.",Master is responsible for the upkeep of the certificate.,Wrong data was entered during the issuance of the certificate.,The EIAPP certificate was renewed with correct data.,"The data in the EIAPP certificate is correct, according to a fleet circular sent to all vessels.",No
14602,Low,2023-12-21,2852,Dry Bulk,9.13620807665982,No.3 and no.4 cylinder fuel injection valve of the main engine was not recorded in the record book.,There was no damage to the lines or the sensor.,There is a lack of initial training.,The document recording requirement was trained to the C/E.,The records were checked and completed by PIC and Master reported to PSCO.,Maintenance records should be kept and checked by leadership at intervals for compliance.,No
4106,Low,2022-07-14,2174,Chemical,10.4476386036961,Emergency steering position communications.,There is a 5 degree difference between the bridge compass and steering gear compass located inside the steering gear room.,The crewmember failed to comply with procedures.,There was an equipment failure between periods of inspection.,Technical assistance was given to resolve the issue prior to departure.,Crew will continue to follow company procedures and take necessary actions in case of an equipment breakdown due to wear and age.,No
4103,Low,2023-04-11,3161,Dry Bulk,4.777549623545517,There was no mechanical protection over the poles of the emergency batteries at the time of inspection.,"During the cable break test, the fire detection system didn't show an alarm.",There was a small leak from the isolation valve during the inspection.,It was not possible for the PIC to install on the Bridge Emergency Batteries with proper protection cover.,The Master instructed the PIC to make a plywood cover and put it in the emergency batteries.,The importance of mechanical protection cover for Bridge emergency batteries was discussed in a safety meeting by the Master.,No
10111,Medium,2022-11-13,3866,Dry Bulk,9.284052019164957,The actual voyage time was not matched by the voyage plan.,There is a smoke detection system for cargo holds.,Improper maintenance is one of the ImMEDIATE CAUSES.,Insufficient monitoring.,The correct route chart was used to revise the voyage plan.,The Marine manager will check out the deficiency on a sampling basis.,No
3107,Medium,2023-03-24,4159,Dry Bulk,12.84599589322382,There were several doors that weren't properly closing.,"The starboard side freeboard marks, forward and middle draft marks, and Plimsoll mark are not fully painted.",The equipment is defective.,Insufficient maintenance.,The dogs were adjusted and lubricated.,The crew was briefed on all the deficiencies with the help of the Fleet Supremo and Internal Auditor.,No
1199,Low,2023-08-25,1004,Dry Bulk,8.980150581793293,There is no valid statement of compliance fuel oil consumption reporting onboard.,"The Statement of Compliance for Fuel Oil Consumption Reporting expired on May 21st, 2022.",Failure to follow procedure and update ship's certificate file timely is a standard act.,Insufficient monitoring of standard Compliance: Change of Management took place a few months ago.,The previous management was contacted by the ship managers and the deficiency was fixed before departure.,The certificate module has been updated with the fuel consumption report.,No
7199,Medium,2023-12-12,1036,Dry Bulk,10.485968514715948,"Generator engines number 1, 2, and 3 are missing.",Fire-fighting equipment.,There was a failure to follow SOLAS regulations.,There are basic and underlying causes of material failure.,The deficiency was closed before he disembarked.,The instructions on the proper installation of heat insulation have been changed.,No
11113,Medium,2023-06-01,3378,Dry Bulk,6.327173169062286,The limit switch on the rescue boat malfunctioned.,The last passage plan wasn't amended with anchor position and relevant berths.,The limit switch was stuck by frozen grease when the Rescue Boat was tested in the monthly drill.,Acts that are unsafe.,The master confirmed that the limit switch was free and grease free.,The officer in charge of LSA should conduct weekly testing to make sure the vessel is in working condition.,No
4103,Medium,2022-08-29,3045,Dry Bulk,12.410677618069816,There was a leak from the emergency fire pump.,High water pressure can be caused by POLYURETHAN HOSE FROM PUMP TO GAUGE.,There are bulbs on the vessel.,Lack of control.,All of the pantyhose on the emergency fire pump should be replaced.,Responsible officers and engineers have been warned about the import of PMS.,No
13108,High,2023-03-25,3188,Container,9.979466119096507,The main generator in E/R shut down due to 2/E incorrect operation.,The operation was not tested correctly by the PIC 2/E.,"After the maneuvering drill of the life boat on 26th Oct., the No.1 battery was not adequately charged, which led to critical equipment failure.",The Emergency generator automatic start simulation test was not familiar to the PIC 2/E.,Engineers were educated on how to test the emergency generator's automatic start simulation.,C/E will teach engineers how to test the emergency generator's automatic start simulation.,No
18407,Low,2023-04-06,1000736,Dry Bulk,5.678302532511978,There are two working lights on the main switchboard.,The insulation for the E/R switchboard is low.,The tube light for illuminating the main switch board wasn't working.,The light was not identified and fixed in a timely manner.,The defect was fixed immediately after the lights were checked.,The lights on the main switchboard panel will be checked daily by the Chief Engineer.,No
14503,Low,2023-10-02,3570,Dry Bulk,12.917180013689254,Large amount of plastic garbage was found in drums and the store at the time of the inspection.,Vegetables in the freezer room were rotten.,Garbage management plan and mandatory regulations were not complied with by the crew.,Garbage from received stores and provisions was mishandled.,The garbage was taken to the shore facility.,Garbage Management Plan for properly disposal of garbage was delivered to crew.,No
4104,Low,2023-09-26,4684,Container,0.1533196440793976,The symbol Mark for E/G is missing.,"All the vessels need to have a certain number of mandatory, hazard, safety, fire, direction and prohibitory signs.",Lack of knowledge is one of the reasons for inadequate training and leadership.,Lack of knowledge is one of the reasons for inadequate training and leadership.,The symbols should be posted immediately by the safety officer.,The crew was given training about the importance of the safety signs.,No
14601,High,2024-05-30,1439,Liquefied Gas,12.577686516084873,The NOx influencing parts for the engines are not available onboard.,The correct nozzle ID was marked on the record.,The inadequate record is due to the failure to follow SMS.,"All changes affecting the designated engine parameters, including adjustments, parts replacements and modifications to engine parts, shall be recorded chronologically in an engine's record book of engine parameters.",The relevant service reports are available and documentation has been amended accordingly.,"Sharing Lessons Learned We have shared the deficiency with the fleet to ensure that the NOx record book is kept up to date, independent of the executing party of the maintenance.",No
13199,Low,2022-10-14,3146,Dry Bulk,11.698836413415467,The insulations on the pipes were missing and soaked.,The lagging got dirty during the maintenance and the staff missed out on replacing it.,There is insufficient planning of the maint.,There was no supervision by the C/E and 2/E.,Replacing and installing missing insulation.,Engine Team will be instructed to report any anomalies.,No
2117,Low,2024-06-24,2738,Dry Bulk,11.5564681724846,There is a rusty deck.,Cross decks were found to be rusty during the inspection.,There are human factors.,"Human Factors: Lack of planning, lack of motivation, inadequate inspection and Maintenance.",Cross decks are hydro blasted and painted.,Periodical checks for the vessel's condition will be carried out by the vessel manager.,No
3101,High,2023-02-17,1114,Dry Bulk,13.74674880219028,There are two cleats on one securing spot in the No. 2 cargo hold hatch cover.,There is water in the weathertight condition.,The old chock was not replaced in time.,The removal of the old cleat was forgotten because the responsible person mounted a new cleat.,The Chief Officer ordered the removal of the old cleat and made sure there was only one cleat on one securing spot.,"If the old cleat had been removed at the time of the installation, the PSC deficiency would have been avoided.",No
3109,High,2024-01-03,1251,Container,21.675564681724847,The steering gear has a rubber retaining channel.,The deficiency was closed by the PSC Inspector.,Lack of planning.,There is a lack of situational awareness.,The Steering gear hatch needs to be maintained.,The officer was told to prioritize the jobs for the defects.,No
4110,Medium,2023-04-13,2318,General Cargo,14.193018480492814,Abandon ship drills.,It took the crew more than 20 minutes to lower the boat.,"The crew are not aware of the requirement of setting for ECDIS, the operation and maintenance manual is not fully implemented on board.",The crew did not have enough training for the lowering operation.,The boat was lowered into the water within 10 minutes after a new drill was conducted.,"Abandon ship drill should be conducted until the satisfaction of the class surveyor and flag state officers, as well as the relevant training to be effectively carried out as a ship's plan based on SOLAS Chapter III/Reg.19 as well as quality documents on board a ship.",No
2135,Medium,2024-06-25,1439,Chemical,16.648870636550306,Several beams on deck are in poor condition.,Not required.,Human factors include lack of preventive maintenance.,The deck frames and support were missed out during the maintenance regime.,Maintenance has been carried out on all the identified.,The full length of the transvers beam has been thoroughly checked to make sure there are no areas with waste.,No
14802,Medium,2023-07-12,1134,Dry Bulk,19.44147843942505,Cross track distance for last voyage not set at an appropriate distance or in accordance with procedures for establishing a safe voyage,The speed and distance indicator was inoperative due to the vessel at the berths.,"The crew are not aware of the requirement of setting for ECDIS, the operation and maintenance manual is not fully implemented on board.",Master and officers did not confirm the passage plan carefully.,The XTD 2.0Nm has been revised.,The review of shore-based safety health environment quality meeting will be noticed by all fleets.,No
18103,Low,2023-02-20,1234,General Cargo,11.137577002053389,Captain's medical certificate expired at the time of inspection.,The Captain's medical certificate expired at the time of inspection.,Failure to follow procedure,Insufficient monitoring.,Master was relieved in the next port.,There is a isolated case and a human element.,No
6101,High,2024-03-26,3378,Dry Bulk,6.231348391512663,Current loaded cargo is not included in the manual.,"After inspecting the vessel's certificates, the inspector requested the logbooks and other documents, including the cargo securing manual.",There are insufficient documentation and inadequate record keeping.,The contents of the Cargo Securing Manual should be reviewed before loading cargo.,The New Amendment Cargo Securing Manual included palleted steel coil lashing.,"Since the ship is registered as a bulk carrier, all possible break-bulk cargo should be included in the cargo securing manual, and it should be ensured that the related cargo is adequately covered in the Cargo Securing Manual before loading.",No
7105,Low,2023-06-24,2536,Dry Bulk,8.39151266255989,The short term ballast water management certificate should be amended to show that D1 is the primary means of ballast water management.,The primary means of ballast water management will be amended to the short term certificate.,The primary muster station was established at the Stbd upper deck area in close proximity of the Fire control station and line with the SOLAS requirements as the muster station marked on the plans was at the Life Boat.,Dispensation term certificate was not checked when it was issued.,The report was sent to flag to close the short term certificate.,BWTS will be functional all the time.,No
13102,Medium,2024-06-06,4684,Dry Bulk,3.181382614647501,The Sensor of T/C Exh. failed.,A/E # 3 Digital Thermometer was found to be faulty during the inspection.,There was insufficient supervision by the officer in charge.,Human Factors are selected by the DOL.,A faulty sensor with a new spare was found to be working well.,Chief Engineer carried out training of concerned staff with regard to importance of always checking and monitoring all running machineries sensors at all times and reporting immediately to duty engineer if any abnormality is noted.,No
1324,Medium,2024-02-28,4146,Dry Bulk,0.3258042436687201,Grease and chemical products were missing from the fwd store at the time of inspection.,Fire doors that are self-closing are not closing properly.,Poor housekeeping.,There was an inadequate safety inspection.,It was printed and kept nearby.,The report was done for the implementation of chemical handling safety.,No
7105,Low,2023-08-28,1258,Dry Bulk,16.060232717316907,The frame of the fire door between the E/R and steering room is not insulated.,The electronic water level sensor is not insulated.,Substandard acts.,The insulation of the emergency escape trunk was incomplete and the frame of the fire door was not insulated during the inspection.,The crew was told by the captain to complete the work as soon as possible.,"In order to ensure that fire insulation in E/R is kept in good conditions, Master held an additional Safety meeting and additional training with all crew during which they were told to accurately plan maintenance task in a suitable way and to always ensure that fire insulation in E/R is kept in good",No
3107,Low,2023-06-16,5076,Dry Bulk,15.874058863791925,The bridge doors are not waterproof.,One of the self closing devices for engine room sounding pipes on the lower floor is missing a closing function.,There is no regular inspection of the door.,There is no regular inspection of the door.,The door is leaking.,All doors must be inspected regularly.,No
14603,Low,2024-04-18,858,Dry Bulk,4.210814510609172,The gas analyzer in EGCS is malfunctioning.,Pilot ladders and hoist pilot transfer arrangements.,There are human factors.,Human Cause - overlook by ship's crew.,The new gas analyzer cooler and temperature transmitter were replaced.,"Risk control, quality control of safety checklist and procedural process are included in the general conditions inspection.",No
1140,Low,2023-08-03,1459,Dry Bulk,12.09034907597536,"When requested, the documents referred to could not be shown.","In order to comply with the elements of the Maritime Labour Convention 2006 that are listed in this specific Document, the Company's systems and arrangements on board are structured.","When the Master presented the three hard copies of the SMS manual and the references therein, he requested to see the forms that are being completed in hard copy as well.",ISM Code regulation 11 'Documentation' is misinterpreted.,The Master posted theAccommodation Inspection Report in both Mess Rooms in order to satisfy the PSC Inspector.,There will be an Internal Audit within 3 months and an External Audit within the next H&S meeting.,No
7114,Medium,2022-11-24,4653,Dry Bulk,11.482546201232031,A large amount of oil was leaking from the quick closing valve of ME.,The starboard windlass motor was leaking oil.,There is an oil mark on the cylinder liner.,The ME FO inlet quick closing valve is malfunctioning.,The valve was dismantled and replaced with a new one.,"To make sure the valves don't have any leaks, the crew will do an inspection on a regular basis.",No
1310,Medium,2023-03-08,1439,Container,8.514715947980836,There are no emergency exit signs in the engine room.,There is a lack of safety awareness.,There are immediate cause-substandard conditions.,The safety and fire control plan states that in inadequate maintenance and inspection signs are not posted.,The signs were posted before the departure.,The Chief officer is responsible for the inspection of the signs.,No
18409,Medium,2023-08-22,1477,General Cargo,10.390143737166325,There is an oil leak on the lower platform and the floor needs to be cleaned.,Many ER floor plates are not secured by screws.,There was a lack of inspection in the lower platform and a failure to identify the hazard in the turning wheel.,Insufficient design.,Fresh water mixed with soap powder was used to clean the flooring.,There will be a weekly inspection to be made.,No
11131,Low,2023-03-27,439,Dry Bulk,11.233401779603012,The LSA training manual has many deleted and unbound pages.,"The LSA training manual was thoroughly inspected by ship staff and class surveyor during the last annual survey on 20th December 2022, and the manual was in good condition.",The valve that goes to the sewage treatment unit is not rotating.,The inspection was inadequate.,The LSA training manual on the bridge and officers mess room was bound in good condition.,The responsible officer has been briefed by the master and safety officer to keep the LSA training manual in good condition.,No
2112,Medium,2024-04-08,1140,General Cargo,18.770704996577688,There are a lot of parts of outside husk that are 888-282-0476 888-282-0476.,There is a light on the boat deck.,The immediate cause of the defect was due to the exposure to the marine environment.,The season has an effect on it.,The areas that are rotten and corroding will be painted.,Painting and oil application on the deck.,No
4103,Low,2024-04-22,2736,Dry Bulk,11.143052703627651,"In the emergency escape route, the emergency light is not marked.",The Emcy light is hanging loose in the cables without mounting.,There are human factors.,There was no sign to inspect the emergency light in the emergency escape route.,The lamps of the emergency lights were signed and this deficiency was immediately corrected by PSCO.,Make sure that all the emergency lights are marked and check the emergency light at the emergency escape route.,No
14599,Low,2023-12-06,4146,Liquefied Gas,2.680355920602328,There was no cover on the garbage bin.,There is a dirty ventillation grill.,There is a missing log in the official logbook.,Lack of good practice was the reason for the not effective implementation ofGMP.,The food waste bin was covered with a lid.,Good practice to follow and regular checks to be carried out by the officer.,No
7118,Medium,2024-06-14,4027,Oil,7.449691991786447,The international shore connection is not ready to use.,"One International Shore Connection is kept in a box at the gangway when in port, as per the Fire and Safety Plan.",The ship safety officer did not report the deficiency.,The international shore connection was used for regular maintenance.,The attending ship's staff immediately recognized the error after the inspector pointed it out.,The training of entire ship staff on the requirements of arrival port procedures and checks was carried out by Master.,No
14105,Low,2022-12-12,3146,Dry Bulk,15.364818617385351,There are valve indicators that are damaged.,"There is a cover letter for the Tonnage Certificate, but it is not available on board.",Substandard acts.,The valve indicators were in position but in the last operation when the valves were closed the indicators were damaged and that resulted in a deficiency to be raised.,The valve position indicators were renewed.,Fleet Notice will be sent to all vessels under the management to emphasize the finding.,No
3102,Low,2022-10-10,1000802,Dry Bulk,8.61054072553046,Loadline marks and freeboard marks.,The draft marks are rusty.,Substandard acts.,The draft marks deteriorated during the last voyages due to the adverse weather conditions and the waves.,"At the first convenient port, Fujairah anchorage, maintenance was carried out on Plimsol and draft marks.",The deficiency will be discussed during the on-board safety committee meeting with the participation of the officers and crew.,No
5105,High,2024-06-24,1000736,Dry Bulk,12.062970568104038,The battery charger malfunction is called the GMDSS.,The PSC action code is 17,The gangway net was damaged when the crew tried to shift the gangway to allow the crane's movement and adjust the height of the gangway for the tidal change during the port stay.,The battery charger was damaged when sailing to China.,"Crew request repair to company, Company ready to replace battery charger during safety radio inspection at China port.",The work standards have been added to prevent a repeat.,No
18203,Medium,2023-08-01,1669,Dry Bulk,12.41889117043121,"Engine Cadet has a Seafarer Employment Agreement (SEA) with no provision for overtime, but he is working more than 44 hours per week.","Engine Cadet has a Seafarer Employment Agreement (SEA) with no provision for overtime, but he is working more than 44 hours per week.",Engine Cadet has exceeded 44 hours of work with a total of 118.6 hours excess OT since he joined the vessel.,Senior engineers didn't compensate for overtime work and didn't arrange rest for the cadet because he was working over 44 hours a week.,The overtime of Engine Cadet was paid in cash by the Master.,To be given rest day after machinery repair to compensate for the extra hours worked.,No
11199,Low,2024-02-25,1649,Oil,13.065023956194388,The rusty wheel was found near the churchyard line.,There is a fire hydrant on the port side main deck.,The broken drain cock for the U type line on the port side main deck was not found during a routine inspection and was not maintained in good condition.,There is a lack of maintenance on the CoW line hydrant valves.,The hydrant was replaced by a new one.,There is a requirement for senior officers to check the cargo on a regular basis.,No
9227,High,2022-12-29,813,Dry Bulk,5.905544147843942,Not in good shape.,There is a standard reference with photographs to identify the condition of mooring ropes and how to discard them.,The mooring rope is used with the guide rollers.,The mooring rope in the poop deck was not adequately tagged or marked to indicate that the rope is not to be used.,Master has been advised to discuss with a local agent about off-landing the condemned rope at a suitable port.,The importance of carrying out routine inspection prior each use and detailed inspection on quarterly basis is important.,No
5115,Medium,2023-04-11,1132,Dry Bulk,7.945242984257358,"The radio Log Book does not include a summary of communications relating to Distress, urgent and safety traffic.",There were not ship specific and missing information in the fire safety operational booklet.,A malfunction in the antenna unit caused the system to stop working.,"Crew neglected to insert the relevant entries into the log, although specific instructions were provided.",The attending superintendent instructed the master to use the correct GMDSS log.,"In order to include additional check points for the GMDSS proper recording, the VO 70 PSC Pre inspection check list was amended.",No
12108,High,2024-03-14,467,General Cargo,8.284736481861739,Both sets are required for dangerous goods that are not ready to use.,The SCBA sets are placed in the location as per the approved fire plan for the vessel.,There is a lack of maintenance.,Lack of supervision by the master.,The master and PSCO were satisfied with the verification.,The master will make sure the BA sets are working normally.,No
9232,Medium,2023-11-20,1002350,Dry Bulk,13.13620807665982,Steering gear room floor is oily.,The main engine fuel oil leakage alarm was bypassed.,The crew did not have a tight well connection.,There was a trace of oil.,The immediately on-site was closed by the PSC inspector.,The crew members took care of the oil trace.,No
9298,High,2023-06-16,2748,Dry Bulk,12.041067761806982,"There are unsafe working conditions in the vessel such as leaking fuel oil lines from service tanks, mooring arrangements and temporary repairs to the sea water lines.",The INMARSAT-C date role has been replaced due to old software.,The limit switch was stuck by frozen grease when the Rescue Boat was tested in the monthly drill.,The dangerous devices were overlooked by the PIC.,The sea water line was repaired by welding.,Any imperfections should be corrected in time for the routine inspection.,No
10133,Medium,2024-03-26,1000736,Dry Bulk,15.23066392881588,Not required.,There was no evidence of LOP fixing during the inbound pilotage passage.,Failure to comply with procedures can include non-compliance and disregard of LOP's not plotted as per the Voyage Plan requirement.,LOP's plotting fast techniques require adequate training for all deck officers.,Plotting of LOP's as per the plan was accepted by the PSCO and closed on the report.,The passage plan should include details of position fixing systems and should be increased at Master's discretion.,No
7115,High,2024-03-05,1134,Dry Bulk,12.260095824777547,The EGCS space is not able to close the fire damper.,The cargo holds line 3 has a smoke sampling fire detection system.,Not complying with load line regulation.,A hand wheel and steel wire connection were used to operate the fire damper.,Grease the damper gear and make sure it's free of stuck parts.,The correct checking procedure was included in his standing order to ask all engineers and ratings to do the proper testing.,No
9225,Low,2022-09-03,830,Dry Bulk,12.11772758384668,The crane is out of commission.,The crane is out of commission.,"During cargo operation, StevedORES OPERATE THE SHIP CRANE.",The crane was out of service due to a parted wire.,The ship's crew replaced the hoisting wire on the Cargo Deck Crane.,"In case of rough usage/mishandling of crane and associated equipment, the crew must suspend operations and the entire running length of the crane wire must be checked.",No
