deficiency_code,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency,adjusted_severity
10103,1318,Dry Bulk,18.57905544147844,The X-Band radar is not operational.,There is a quick-closing valve for the generator oil inlet.,Lack of immigration is a problem.,The crew was negligent in their maintenance of the radar.,"The radar has been repaired in Singapore and all functions have been checked, all in good condition.",The radar inspection and maintenance training needs to be done by a technical engineer.,No,2
14119,2113,Dry Bulk,9.117043121149898,There is oil leaking from the doors of the building.,A/E were running on load for cargo operation.,It is closed and not filled.,Poor seal between the gasket and the engine frame caused the oil leak from the crankcase doors.,"After the gasket replacement, the auxiliary engines were tested under load and found to be operating normally.",The crew was briefed about the importance of replacing the gasket after the Crankcase inspection.,No,2
9131,4856,General Cargo,15.594798083504449,The push lever release in the meat cold room was not functional.,The push lever release in the meat cold room was not functional.,The lever in the meat room was damaged when one of my crew accidentally hit it.,Not reported after the damage was done.,Attach the push lever release back to the dent.,All crew and the ship manager were together to inform any effects.,No,1
4118,5076,Dry Bulk,21.924709103353862,There are not posted a list of enclosed spaces.,"There were only self-inspection records on May 7, 2024 and a document with the inspection photos, but the self-inspection record on November 7, 2023 was missing.",There are human factors.,The officers of the vessel missed out on completing the list of enclosed spaces due to oversight.,A list of enclosed spaces was presented to the PSCO.,The form SF-32 which is required to be completed by the Chief Officer and 2nd Engineer was discussed by the internal auditor during the ISM internal audit of the vessel between 10th and 14th May.,No,2
11135,2135,Dry Bulk,6.631074606433949,"In September, the monthly inspection record of lifeRAFT was updated.","In September, the monthly inspection record of lifeRAFT was updated.",The same serial numbers were shown for the auxiliary engines.,The PSC inspector believed that the life rafts had not been inspected and maintained in September due to the carelessness of the third officer.,The deficiency was corrected by the third officer and verified by the PSC inspector.,"The training of SOLAS> CHAPTER III Life-saving appliances and arrangements Regulation was carried out to the third officer and other crews, the inspection of life-saving appliances, including lifeboat equipment, shall be carried out monthly using check list required by regulation 36.1 to ensure that they",No,1
9227,1389,General Cargo,14.557152635181383,Ropes and wires are missing.,There are two swing limits for rescue boat switches.,It's not like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it,The guard may have fallen due to the wind.,The guard is fixed.,"In windy weather, duty personnel were warned to increase the control of the ropes.",No,1
18413,1394,General Cargo,3.2799452429842573,There is a radio antenna on Monkey Island.,"According to the relevant Class/IACS rules and regulations, as in built condition.",The issue was fixed in the presence of the PSC Officer and endorsed before leaving the vessel.,"During maintenance, the high voltage warning was overpainted.",The sign was close to the antenna.,"After any maintenance is carried out, safety markings should be posted.",No,2
11105,3230,Dry Bulk,9.66735112936345,The tape for the rescue boat is in poor condition.,Rescue boat davit slewing is slow.,The rescue boat davit's remote control lever was not recovered because it was worn out.,The Rescue Boat was not checked and maintained.,New tapes were attached.,The master will teach the PIC how to maintain the Rescue Boat.,No,1
7118,3516,General Cargo,12.780287474332647,The bolts were different sizes and some washers were missing.,There is a steam pipe leaking.,An internal audit is planned for the earliest port.,The crew did not follow or was not familiar with the requirement of FSS.,The bolts of international shore connection and washers should be changed.,All equipment and tools for Firefighting must be in good order and follow the guidelines of the manual.,No,2
3108,2713,Dry Bulk,18.154688569472963,The store's mechanical ventilating system couldn't start.,The navigation procedures manual has a chapter on instrument maintenance.,China ports are not convenient for delivery of spare parts.,The mechanical ventilating for the paint store was unable to start.,"The mechanical ventilating for paint store couldn't start, was overhauled and repaired, and was running in good order.","If a defect was found, 1 inspected the mechanical system and repaired it.",No,2
1337,1119,Dry Bulk,6.809034907597536,There is a copy of a certificate of financial security on the board.,"In the crew mess room, it was observed that the certificates were not pasted.",There are human factors.,There was a human error when the copy was posted in the crew mess room.,"In the presence of the PSCO, copies of Regulation 2.5 and 4.2 were taken and 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611",Learning will be sent to all vessels in the form of Safety Bulletin-Monthly findings list.,No,1
2118,2015,Dry Bulk,17.519507186858316,Stbd side lifeboat embarkation deck floor is cracked and the navigation bridge wing is also cracked.,Master confirms that life-saving equipment is maintained in line with the Class approved maintenance system.,This port or next port will be supplied with a portable gas meter with built in pump.,The PSCO officer is referring to the subject as a result of our vessel's collision with M/V Planet Skipper in October of 2023.,The short-term Cargo Ship Safety Construction Certificate was issued after the occasional survey was performed at the port of Mykonos.,Refer to the report.,No,3
11105,2476,General Cargo,12.306639288158795,Rescue boat radar isn't ready for use.,There is a fire extinguisher that is missing.,The acts are substandard.,The pole was not ready for use.,A new pole has been mounted.,To be looked at as VI-20.,No,1
8105,1009,General Cargo,12.583162217659138,An engineer's alarm.,The alarm indicates low pressure for operating valves.,Defective equipment.,It was not possible to provide maintenance.,A new accumulator has been installed.,Discussed with the crew.,No,1
16105,4201,General Cargo,8.186173853524982,The Chief officer arranged forAB to be on duty to control the ship's access.,The training of the code for controlling access to the ship at different security levels was given to the chief officer.,The inadequate record is due to the failure to follow SMS.,"When the PSCO stepped onto the access point, there was no watchkeeper present because the duty officer was on his way to man the gangway.",The NC report and Correction/Preventing report were verified by two people.,I don't know.,No,2
18324,2150,Chemical,14.455852156057494,The vegetable room had provisions on the floor at the time of the inspection.,The crew overhauled the mushroom and forgot to re- connect the cables.,Human physical constraints are caused by error.,The crew did not return the removed provisions back to rack.,A sack of provision was removed from the floor and placed on a rack.,Provisions to always be stored on the rack were included in training for the galley staff.,No,2
14899,2536,Dry Bulk,8.407939767282683,The vessels are using D-1 as a contingency.,The forward forecastle doors are weathertight.,Refer to the report attached.,Refer to the report attached.,Refer to the report attached.,Refer to the report attached.,No,2
4101,3491,Dry Bulk,4.550308008213553,Four speakers are not working in the public address system.,Not seen because these tools can't be stored in one place and they were kept on different places and designated places.,There were different locations for fire nozzles.,The PA system speakers on the C deck need to be inspected.,The ship staff was unable to repair the defect.,The importance of reporting any defects was emphasized to all crew members.,No,3
10128,2393,Dry Bulk,11.813826146475018,Visibility on the bridge.,The bridge windows were damaged.,"Due to short passage and lack of awareness of situational importance of hygiene, the washrooms on the ship were not immediately cleaned and maintained.",The officer in charge did not find the defect during the daily inspection because of the inadequate knowledge on the Individual Duty and duration on Inspections and Maintenance of ship and her Equipment.,The spare parts have been applied.,The officer in charge should be familiar with MAINT-02 Individual Duty and duration on Inspections and maintenance of ship and her equipment.,No,2
9201,2620,Dry Bulk,11.21697467488022,The air condition unit is out of order.,The main engine fuel oil leakage alarm was bypassed.,Failure to check tools prior to use of equipment is a human factor.,The engine staffs were busy carrying out the Main engine unit in the port.,The cooling effect was low during the inspection because of a minor leak.,The daily round was fortified by senior citizens.,No,2
1199,1251,Container,21.8507871321013,D-1 operations were issued for a time period beyond the first IOPP renewal survey.,There were not ship specific and missing information in the fire safety operational booklet.,There are human factors.,The root cause is the Technical Manager's and the Master's omission to ensure that the data on the IOPP certificate is corresponding to the actual condition onboard.,A revised IBWM certificate was issued for D-2 only after the class attended the vessel.,The master was told to always check the certificates as per the vessel's particulars and equipment during the extra ordinary safety committee meeting.,No,2
1308,2135,Dry Bulk,18.702258726899384,The hours of rest for C/O and 2/0 did not comply with the drill record.,The tank cleaning operations room sample point failed while testing the fixed gas detection system.,Substandard acts.,"The records of the Chief Officer and Second Officer were recorded as rest instead of work, as a result of inadequate supervision Investigation carried out with the assistance of the Master.",The work and rest hours records that were found with errors were corrected to show the actual working status of the Chief Officer and Second Officer.,"As a preventive measure, a training session was carried out on the same day (14th) by the Master to all officers and crew, in the course of which, he stressed the importance to meticulously record the hours of work in strict compliance with the actual routines and onboard activities/ drills etc.",No,2
9203,3141,Dry Bulk,8.10403832991102,One light in E/R is not an emergency light.,"The cargo ship safety equipment certificate stated that the navigation equipment was in good working condition, as it was seen by the inspector.",There are human factors.,There are human factors.,The tubelight was replaced with a new one.,The training was done for Engine staff.,No,2
7110,2477,Dry Bulk,14.234086242299794,The portable fire extinguishers were not secured at the time of inspection.,The exhaust is not marked open.,Minor leaks came up due to exposure.,"The crew failed to pick up the loose condition of the fire boxes, despite the fact that the company's procedures include checks of Fire extinguishers storage boxes specifically prior arrival at port at Form VS-23.",The crew secured the Fire extinguisher boxes after they were pointed out to be deficient by the PSC inspector.,Deficiency will be spread to all fleet vessels in terms of sharing experience.,Yes,1
1330,3198,Dry Bulk,13.35523613963039,Seafarers will be provided with a copy of the on-board complaint procedures applicable on the ship.,"The onboard complaint procedures don't specify contact information for the competent authority in the seafarers country of residence, and the name of a person or persons onboard the ship who can, on a confidential basis, provide seafarers with impartial advise on their complaint and otherwise assist them in following the compliant procedures available",There were different locations for fire nozzles.,There was insufficient supervision.,"There were compliant procedures, forms, and updated national contact numbers list posted in all the mess rooms for easy and every time reachable positions for all crew.",Instructions were given to the Safety Officer to attach the onboard complaint procedure form with national and flag administration contact details.,No,2
11104,1166,Dry Bulk,13.51129363449692,The rescue boat engine is malfunctioning.,The rescue boat engine is malfunctioning.,Substandard acts.,"During the rescue boat engine test, both ahead and astern tests should have been conducted.",The PIC should carry out maintenance and repair according to the plan.,The company plans to register and operate a planned maintenance system to ensure that the inspection of the rescue boat engine is not overlooked.,No,2
2109,2202,Dry Bulk,11.638603696098563,The Structural access manual is not approved by the Administration.,"Each fleet member should hold a Stability booklet approved by flag administration or the RO on its behalf, according to the procedures and practices of the company.",The master is in charge of making sure that all shipboard manuals are endorsed by class.,The investigation showed that the master didn't deliver the manuals for approval and further endorsement because of lack of supervision.,"After the notice of detention, company's initial action was to appoint class surveyor (RINA) to go on board for occasional - PSC follow up survey.",It was necessary to include in the handover agenda the good-standing condition of all the shipboard manuals.,No,1
6199,1384,Container,9.034907597535934,The instrument had last test condition evidence.,The loading instrument computer is used for other administrative issues and is not dedicated for stability information.,Oversight of inadequate filing.,The documents related to the last test conditions of the loading instrument were received during the last Annual Class Survey but the crew were unable to present them during the inspection because the records were stored in a different file.,The training sessions emphasize the correct filing methods and aim to reduce errors.,"To ensure the proper filing and maintenance of documents, the master will focus on keeping documents in line with company procedures.",No,1
11125,820,Dry Bulk,12.772073921971252,The tapes of the rescue boat are damaged.,The engine room of the vessel has been meticulously maintained and is currently in good working condition.,The actual status of the tapes is good but they are not in good shape.,The actual status of the tapes is good but they are not in good shape.,The crew immediately replaced the tapes that were pointed out by the PSC officer.,"If degraded quality is observed, the master should inform the crew on following the inspection schedule and renewing the tapes.",No,1
9111,3031,Dry Bulk,13.075975359342916,Sickbay is not required to use a store room.,Steering gear room has an oil store.,There are human factors.,The mattress is stowed in the sick bay temporarily as the place the mattress is used by the stevedores at the port.,"The sick bay was kept free from any other stores except hospital equipment and medicine, and good hygiene was maintained because the mattress was stowed before.",There is a requirement for all crew/officer awareness and compliance.,No,2
10110,3210,Dry Bulk,9.79876796714579,The signalling lamp battery was found discarded.,The battery charge was off at the test.,Instructions for correction were given and the deficiency was fixed on-site during the inspection.,"The battery for the lamp was charged according to the schedule, but it wasn't getting power.",The power from the battery was restored to the outer port after the terminal was connected.,The Master held a Safety Meeting where all findings were discussed.,No,2
11199,1166,General Cargo,13.467488021902806,"As per the PSC report requirement, the forward liferaft operating instruction was not complied with.","As per the PSC report, the forward liferaft operating instruction was not complied with.",Failure to follow procedure,The review instruction was not adequate.,"All codes were upgraded to '10- rectified' after a follow-up inspection in Townsville, Australia.",The Quarterly Safety Bulletin raises awareness among the crew.,No,1
14402,3188,Chemical,14.85557837097878,The sludge return hose and the dosage filling tube for the sewage treatment plant did not show any flow during the inspection.,There is a sewage treatment plant.,The sewage treatment plant was out of order.,Poor maintenance and supervision.,The sewage treatment plant is being maintained as per the vessel's planned maintenance system and in-line with the Company's Technical operations manual.,The Chief Engineer was briefed by the engine room staff.,No,2
10114,5076,Oil,18.06160164271047,The acoustic beacon VDR expired on 09/2022.,specify in clear text,Information is insufficiently communicated.,The VDR acoustic beacon battery was installed as per the instructions of the maker.,The VDR acoustic beacon battery was installed as per the instructions of the maker.,Master has been told to closely monitor and keep proper control over records in order to ensure that it would be done in compliance with company recommendations and requirements.,No,1
11118,3683,Dry Bulk,12.65160848733744,A releasable line or other means of securing it to a lifejacket can be used.,"Lifejackets as part of the vessel's LSA / safety equipment are being checked and maintained on a monthly basis following the company's SMS/PMS interval requirements and in accordance with SOLAS, LSA Code, makers and Flag Administration's requirements.",The crew does not strictly follow the 2010 Manila Amendments of the STCW Convention and Codes.,They apply to new vessels constructed on or after 1 July 2010.,"After consulting with the office, the Master instructed his crew to remove all releasable lines.",This non-conformity will be sent to the fleet to give clarity to all Masters to avoid similar deficiencies in the future.,No,1
11125,1273,Dry Bulk,10.926762491444215,Rescue boat embarkation.,The engine room fire damper could not close because of a locking pin stuck in the fan housing.,There are human factors.,There was a lack of proper inspection by deck officers and electrical officers.,The old housing was replaced with a new one.,The crew was instructed about proper inspection methods.,No,3
1324,741,General Cargo,11.044490075290897,There is a missing MSDS from the last GO and LSFO operation.,A portable deep fridge is missing.,Installation problems and vessel's inherent vibration are to blame for the hairline crack.,The sample for analysis is included with the MSDS.,The ship has received the sds of GO and LSFO.,The Chief Engineer must ensure that the MSDS is procured from Barge Master and that it is kept on board at all times.,No,1
16199,4684,Container,0.2409308692676249,Stevedores were not recorded in the visitor log.,"stevedores on/off activity was only recorded in the Cargo log book, but not in the Gangway visitor log due to insufficient awareness of the gangway watch keeper.",Failure to comply with procedure is an example of inadequate onboard training and supervision.,Insufficient knowledge of gangway watch keeper.,Stevedores on/off record in Gangway visitor log were followed up by PSCO before disembarking.,Master and SSO conduct regular checking of Gangway visitor log.,No,2
11131,3383,Dry Bulk,11.718001368925394,The working language of the ship is inadequate.,Low.,Failure to follow procedure and instructions to fix the leaking pipe is an immediate cause-substandard act.,The crew did not make the instruction suitable for the vessel.,Crew created a step by step launching procedure for rescue boat with attached photos as recommended by PSCO for easier understanding and attached it to each SOLAS Training Manual onboard.,"If the SOLAS Training Manual was modified to fit the vessel's equipment, the master instructed the deck crew to periodically check it.",No,1
1320,3072,Dry Bulk,10.242299794661191,The Garbage Record Book at Fuzhou was not recorded the Category of the Garbage.,The officer was unaware of the need to record the event in the log book.,OverLOOKED BY RESPONSIBLE OFFICER.,Improper recording.,The entry in the Garbage Record Book needs to be corrected immediately.,The company issued a PSC Notice Alert to fleet vessel regarding the deficiencies and the vessel are to check if similar conditions exist onboard and confirm back and report to respective PIC the status and rectification in case of similar findings.,No,1
18314,3144,Dry Bulk,3.783709787816564,There is not enough food for the next voyage.,The vessel's extended port stay was due to the congestion of the berths and fresh vegetables going bad.,There are human factors.,Monitoring provision delivery status follow up is a human cause.,The provision ship chandler is immediately told to deliver by the master after the PSC Inspection.,"To confirm for compliance by the 1st of September, a fleet message will be sent to all vessels.",No,2
9103,3229,Dry Bulk,11.846680355920602,The system is out of service.,Lashed down.,The problem with the air conditioning system was caused by the failure of the compressor on the night before the inspection.,There was a failure of equipment.,"The company arranged for two fresh compressors to be sent to the vessel, which were fitted and put in use along with the existing good one.",All crew are trained to follow good air con practices so that the load on the air con is always efficient.,No,3
1139,1119,Dry Bulk,0.0328542094455852,There is a copy of the certificate not posted.,It was MLC 2006,There are human factors.,The crew failed to post the MLC certificate.,The copy was posted on the spot.,All fleet vessels are given the deficiency along with our comments.,No,1
10106,1004,Dry Bulk,11.263518138261464,Not in compliance with the requirements of the STCW.,The crew overhauled the mushroom and forgot to re- connect the cables.,The inadequate record is due to the failure to follow SMS.,Lack of compliance was indicated by the root cause analysis.,The deck officers were told to strictly follow the instructions of the Master Standing Orders.,The master was instructed to discuss finding and corrective action during the scheduled safety in order to prevent recurrence.,No,3
7109,2713,Container,16.024640657084188,The two separate controls provided for releasing CO2 to E/R in CO2 room malfunction due to one control pipe of pilot cylinder totally detached and second control pipe of pilot cylinder kept in loosen situation.,The anti-heeling system is not good.,Substandard acts.,"The Safety Officer and/or the Chief Engineer conduct the daily, weekly, monthly, and yearly inspections of the LSA and FFE.","Before departure, the PSC Inspector verified that the Pilot Cylinders and Pipes were fixed in the CO2 system.",The monthly safety committee meeting will include the participation of all officers and crew.,No,2
1324,3574,Dry Bulk,6.778918548939083,All paint types were not covered by the sds at paint locker.,There was a shortage of PSC PPE in the S/G room.,Substandard acts.,"Some old Hempel paints were missing from the paint locker, but they were accompanied with the relevant MSDS.",A copy of the old paint stock was filled out in the paint locker and downloaded by the master.,Masters to ensure proper checks are made and advise outcome after deficiency was communicated amongst managed fleet.,No,2
11129,3417,Dry Bulk,6.105407255304586,The line throwing apparatus was not ready to use.,The muster station on the starboard side upper deck is not marked in the posted safety plans.,There was an oil spill on the deck.,The primary cause is a procedural violation.,Immediately connect the rockect to the line.,It was necessary for the master to arrange training and education on the spot for all crews.,No,2
1107,741,Dry Bulk,5.420944558521561,There is an Invalid SMCC Certificate on the ship.,The inflatable boat is mentioned in the access manual as a means to inspect the higher parts of the Fore Peak Tank.,A thorough clean-up of the provision store was conducted to organize and rearrange the food items in a neat and orderly manner.,Insufficient communication.,A new certificate was received during the PSC Inspection.,Email should be sent to the company after receiving certificates on board.,No,1
18315,2477,Oil,15.274469541409994,Live bugs are found in daily used rice bags.,"Food should be clean, wholesome, free from adulteration and otherwise safe for human consumption.",The Master will be responsible for the clean handling of food preparation.,Poor implementation of standard.,The vegetable room was cleaned up to the satisfaction of the PSC officer and the standards were followed.,The Safety Committee Meeting that took place after the inspection emphasized the importance of proper familiarization with the onboard duties and requirements.,No,2
2119,4159,Dry Bulk,12.84599589322382,There is no documentation of the Enhanced Survey program onboard.,The settings for the container in the loading program were found to be far over reasonable limits.,The ESP documentation folder is incomplete.,Lack of company supervision is the root cause.,The required documents were sent to the PSC officers.,Deficiency will be discussed during next safety meeting as well as preventive actions.,No,2
13101,1000352,Container,14.674880219028063,M/E T/C routine maintenance is not required.,The recent fire incident in the Engine Room resulted in deficiency and action was taken.,The original cargo cleaning pump was not fully guard by the safety net.,The maintenance record was not in line with recommendations.,Schedule the maintenance of M/E T/C.,Maintenance and Overhaul will be carried out if Master and C/E are notified.,No,2
7112,1152,Dry Bulk,16.90075290896646,The EEBD is not used for marking.,The action code is 17/10/2018.,The number of compass observations was insufficient.,"It became apparent that the EEBD for training purposes was not marked according to directives, instructions and practices.","After the completion of the PSC inspection, the Safety Officer was told to immediately mark the EEBD 'For training only'.",Instructions will be included to proceed with extraordinary inspection of training material and devices to ensure compliance. Instructions will be included to proceed with extraordinary inspection of training material and devices to ensure compliance.,No,1
7120,1642,General Cargo,20.591375770020534,ER floor plates are loose.,Few floor plates were not secured with screws in the engine room.,It's not like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it,The PSC requirements have been done.,The steering gear compartment is not an emergency exit according to the safety plan.,Engineers were told to secure floorplates even during break.,No,2
12101,1044,Dry Bulk,10.231348391512665,There is a chemical locker in the steering gear room.,The crew is familiar with the garbage management plan.,The crew was told to separate the chemicals in the locker.,The crew tried to save time by not segregating the chemicals in the steering gear room.,All deficiencies were reviewed during an additional safety meeting conducted by the master.,The Master provided refreshment training to all crew as per the proper segregation of the chemicals on board.,No,2
8108,467,Dry Bulk,15.27173169062286,The ER alarms are vital for vessel safety.,The 220V system has an earth fault.,"As per the maker design, deviation of M.E. exhaust valve is necessary.","Failure to follow R&R procedures, inadequate guards/ barriers, inadequate supervision,Negligence, routine, inadequate work planning, Lack of compliance were all identified in the root cause analysis.",The alarms in the ER were checked and worked correctly.,The 'Tag Out' process was revised to include instructions for the deactivation of safety devices.,No,2
10105,2727,Dry Bulk,9.508555783709788,There is a large bubble inside the bowl.,The spare Magnetic compass that is stored in the navigation locker was found to have a different heading than the Magnetic compass that was fitted on the Monkey island.,The battery was replaced during the inspection.,Person in charge failed to inspect the magnetic compass.,There is a bubble inside the spare Magnetic compass.,The company included an inspection of the compass bowl.,No,2
18317,3230,Dry Bulk,12.843258042436688,There is unsafely placed drinking water on the outside boat deck.,There was deficiency noted and action taken.,Substandard acts.,During the inspection the ship's provision delivery was in progress and all the items which were brought on deck were transferred to the storeroom.,The drinking water bottles stored on the spot and same 0 SanQua' was verified by the attending PSCO and the deficiency was closed out.,"The finding was communicated to our manning agent and all vessels under the management in the form of Fleet Notice, requesting to inform the PSC team about the on-board operations during the initial meeting onboard.",No,1
1215,541,Dry Bulk,5.429158110882957,The application receipt of the flag endorsement of 3rd mate expired on April 10th.,The engineer didn't know about the test of M/E L.O stand-by pump change-over in case of low pressure.,Incorrect equipment handling and operating.,"The flag endorsement has been issued and forwarded, but no further corrective action has been done.","As the full crew certification was onboard, the deficiency was initially not understood.",The availability and validity of the new joiners certificates are checked by the Master through S-29 report which is submitted to office.,No,1
9227,2513,Dry Bulk,23.04996577686516,A mooring rope needs to be changed.,The rope was sent as an additional head line and did not meet retirement criteria.,The warning system is not adequate.,Poor inspection and/or maintenance.,"During the course of the inspection, mooring rope was replaced with a new spare rope.",The retirement criteria for synthetic fibre ropes were explained.,No,2
11113,3290,Dry Bulk,14.39835728952772,Rescue boat malfunction caused by hoist limit switch.,Steering gear has oil leaks.,The battery was replaced during the inspection.,Rescue boat is periodically tested for its' condition and operational readiness.,The alignment of the limit switch was corrected during the inspection.,The committee was pushed to focus on generic conditions and alignment of the equipment.,Yes,2
5118,3126,Dry Bulk,22.154688569472963,There was a false alert about GMDSS on the bridge.,There is no procedure for false alert cancellation displayed near GMDSS equipment's.,PSCO recorded a deficiency because Master's information that the familiarization process of the signed on 2nd Officer was just initiated at the same day was not accepted.,There was a false alert on the bridge.,The false alert cancellation of GMDSS had been posted on the bridge.,The false alert cancellation of GMDSS should be posted on the bridge.,No,1
2199,5801,Dry Bulk,13.834360027378509,The exhaust of the galley is dirty.,There is a lack of safety awareness.,Substandard acts.,"During the preparation of fried fish, the pan produced signs of oil.",Master immediately asked his crew to clean the exhaust.,Manning Agency will be told to refresh all crew during the pre-joining briefing about this deficiency and related actions taken.,No,1
15109,1056,Dry Bulk,11.534565366187543,Section 2 Maintenance Procedures and Section 9 Inspection / Maintenance of Tanks and other show that the procedures implemented onboard do not ensure that the ship is maintained in accordance with the provisions of the relevant rules and regulations.,There is a damaged wall in the galley.,There is a lack of test matrix.,The cabin windows are weathertight but the condition of rubber gasket is worn out.,Measures were put in place to prevent recurrence after an in-depth investigation was conducted to identify the cause of each deficiency.,I don't know.,Yes,3
11101,2595,Container,13.919233401779604,The Lifeboats painter release device is stuck by the release cable and the second efficient painter is absent.,The painter release device has been fixed.,There were no identified dangers from dirt accumulate.,The release device wasn't properly monitored and some crew didn't know how to assemble it.,The flag state dispensation letter needs to be arranged by the fleet department.,The monthly check of the condition of the equipment is part of the maintenance procedure.,No,3
7123,2318,Dry Bulk,11.225188227241617,Fire protection systems are being operated.,The master instructed the crew to get more training on how to operate the CO2 system in an emergency.,The Filipino crew members did not comply with the company's complaint procedures.,The crew members who were questioned by the PSC officer were not assigned to FF duties.,"After the completion of the PSC inspection, the vessel's Master and Chief Officer gathered all crew members and demonstrated the procedure of emergency operation of the CO2 system, which was requested by each crew member separately.","Fleet vessels' Masters were told of the finding and were requested to teach all crew members how to respond and act in an emergency, regardless of their assigned emergency duties.",No,2
7122,2135,Dry Bulk,11.88227241615332,The Fire Control Plan container has a broken cover.,The eye wash kit was not returned after the paint room was cleaned last week.,The deck crew did maintenance on the rescue boat painter.,Insufficient assessment of readiness.,The fire control plan container has a cover.,The matter will be discussed at the next safety meeting.,No,1
9209,532,Dry Bulk,11.52908966461328,The AC 220 feeder panel has low insulation.,The company's established procedures and practices clearly state that all scuppers must be plugged at all times when in port.,Crew members don't know what an emergency is when they are in the engine room.,The signal lights system was low insulation because one signal light on the main mast was not waterproof and the rain water entered into the light base.,The light base was cleaned and the light cover was renewed.,The signal lights need to be checked weekly and maintained at regular intervals.,No,2
11102,439,Dry Bulk,11.367556468172484,The fire extinguisher is out of date.,Incinerator is out of order.,A malfunction in the antenna unit caused the system to stop working.,Had to overlook to inspect servicing records.,There is a request for the office to provide a fire extinguisher.,Every week there will be a periodic check to make sure nothing is missed for inspection.,No,2
4102,1056,Dry Bulk,8.227241615331964,The second means of access to the emergency fire pump is secured on the inside.,The second means of access to the emergency fire pump is secured on the inside.,There are human factors.,The root cause of the C/E failure to ensure that the A-Class doors between E/R and S/G room are closed is human error.,17/10 code was issued by PSCO because the issue was resolved on the spot.,"In order to avoid similar occurrences in the future, the Company took the following measures.",No,2
1336,1119,General Cargo,6.9486652977412735,There is a certificate of financial security for repatriation.,There is a certificate of financial security for repatriation.,"While taking over, the master didn't check the certificate at the mess rooms.","While taking over, the captain did not double check the cert.",The new cert was posted at the mess rooms.,All certs should be checked by the captain at regular intervals.,No,1
99101,936,Dry Bulk,13.311430527036276,The combination pilot ladder is being prepared without appropriate gear as per the working outboard check list item 4.,"At the time of inspection, the exemption had expired but the conditions were still required to be completed onboard.",Wear and tear.,The crew member was negligent during the preparation of the combination ladder.,A safety meeting was held for Proper PPE/HSE 15 and crew members were shown how to work on an outboard.,"Train the crew the used of PPE 5 point Harness, 2 ropes, helmets, life jackets, fall arrester and non- slip shoes, and to ensure to avoid similar situation in the future.",No,3
7113,5278,Dry Bulk,13.130732375085556,The fire isolating line valve is leaking.,In open condition there is no leaking.,Instructions to the vessel were given to the company.,There was damage to the valve seat.,The Isolation valve was replaced with a spare valve.,Fleet vessels will be given observation and focused verification of Fire line Isolation valves.,No,2
4110,1000326,Container,17.582477754962355,Abnormal abandon ship drill records with the same pictures were found.,Survey out of window.,Substandard conditions are acts.,The printed dates of the photos were not the same as the reports.,The date in the vessel's camera was adjusted correctly and an additional drill was carried out.,The finding will be communicated to our manning agent and all vessels under the management in the form of Fleet Notice.,Yes,1
10136,3050,Container,2.803559206023272,The language on board is not marked on the log book.,There was a small leak from the union during the test and it took 30 seconds for the valve to shut down.,The officer forgot to fill in.,The log book was leaked working language remark while being printed in office.,We put the word 'English' on the current use deck log book immediately.,The master gave a presentation to all deck officers to mark on the log book.,No,1
2132,3378,Dry Bulk,10.069815195071868,There is a water alarm system.,The schedule provides adequate instructions to the ships staff for detailed inspection of water ingress alarm system on board at periodic intervals.,The Pre-Alarm for No.4 Cargo hold was activated due to malfunction of the sensor.,The sensor failure caused the water alarm system to malfunction.,The master confirms that the alarm system has been restored.,Measures to protect the sensor of the alarm system during cargo hold cleaning were emphasized.,No,2
18316,1366,Dry Bulk,12.752908966461328,The hot water calorifier has a leak.,The hot water calorifier was leaking.,There were 6 pieces of pipe support that were corrosive and 3 that werecracked due to insufficient maintenance.,The equipment has 888-405-7720 888-405-7720,The crew welded the crack to fix the leaking.,Subject deficiency will be communicated to the fleet vessels via the Company's Monthly Alert Bulletin after a training Session was carried out by the Master for the awareness of responsible deck personnel.,No,1
2108,1439,Dry Bulk,6.833675564681725,Electric sockets for navigation lights were broken off at the monkey bridge.,The action was taken 17 October.,"As per the crew's statement, the officers failed to see the broken thermometer as they were recording the temperature to the deck log book.",There is a lack of monthly checks for navigation equipment.,The sockets were reinforced.,The fleet was informed of the deficiency at the time of the safety meeting on board.,No,2
9211,3378,Dry Bulk,13.3305954825462,Boiler blow down line insulation.,Boiler blow down line insulation.,There were five charts in ECDIS that expired.,The schedule of work plan does not include maintenance and repair.,The crews were educated according to the manual.,The case information is spread through the Shore SHEQ meeting result and company data processing system.,No,2
